" symbol may be delisted""}}}",Adj Close,Close,Date,High,Low,Open,Volume,"description:""No data found","error:{""code"":""Not Found""","{""chart"":{""result"":null"
,102.375,102.375,2012-10-08,105.0,91.875,105.0,10674.0,,,
,105.0,105.0,2012-10-09,105.0,97.125,102.375,2367.0,,,
,105.0,105.0,2012-10-10,105.0,99.75,102.375,2118.0,,,
,105.0,105.0,2012-10-11,105.0,99.75,102.375,1167.0,,,
,105.0,105.0,2012-10-14,105.0,99.75,102.375,2014.0,,,
,99.75,99.75,2012-10-15,102.375,99.75,102.375,291.0,,,
,99.75,99.75,2012-10-16,99.75,99.75,99.75,0.0,,,
,99.75,99.75,2012-10-17,99.75,99.75,99.75,476.0,,,
,91.875,91.875,2012-10-18,99.75,89.25,94.5,567.0,,,
,89.25,89.25,2012-10-21,89.25,78.75,89.25,2104.0,,,
,89.25,89.25,2012-10-22,89.25,89.25,89.25,190.0,,,
,97.125,97.125,2012-10-23,102.375,86.625,86.625,2332.0,,,
,105.0,105.0,2012-10-24,105.0,97.125,102.375,1598.0,,,
,102.375,102.375,2012-10-25,102.375,102.375,102.375,3243.0,,,
,102.375,102.375,2012-10-28,102.375,102.375,102.375,781.0,,,
,99.75,99.75,2012-10-29,102.375,99.75,99.75,3619.0,,,
,97.125,97.125,2012-10-30,99.75,97.125,99.75,61.0,,,
,97.125,97.125,2012-10-31,97.125,97.125,97.125,0.0,,,
,94.5,94.5,2012-11-01,99.75,94.5,97.125,465.0,,,
,97.125,97.125,2012-11-04,99.75,97.125,99.75,3252.0,,,
,97.125,97.125,2012-11-05,97.125,94.5,94.5,963.0,,,
,97.125,97.125,2012-11-06,97.125,97.125,97.125,323.0,,,
,97.125,97.125,2012-11-07,97.125,89.25,91.875,3701.0,,,
,94.5,94.5,2012-11-08,94.5,94.5,94.5,1143.0,,,
,102.375,102.375,2012-11-11,107.625,99.75,99.75,1498.0,,,
,97.125,97.125,2012-11-12,102.375,94.5,99.75,1116.0,,,
,94.5,94.5,2012-11-13,94.5,94.5,94.5,229.0,,,
,94.5,94.5,2012-11-14,97.125,94.5,94.5,894.0,,,
,91.875,91.875,2012-11-15,94.5,91.875,94.5,2682.0,,,
,94.5,94.5,2012-11-18,94.5,91.875,91.875,405.0,,,
,91.875,91.875,2012-11-19,97.125,89.25,89.25,2025.0,,,
,91.875,91.875,2012-11-20,94.5,91.875,91.875,1791.0,,,
,91.875,91.875,2012-11-21,91.875,89.25,91.875,971.0,,,
,78.75,78.75,2012-11-22,91.875,78.75,91.875,1861.0,,,
,76.125,76.125,2012-11-25,76.125,73.5,76.125,1757.0,,,
,73.5,73.5,2012-11-26,76.125,73.5,76.125,412.0,,,
,73.5,73.5,2012-11-27,73.5,73.5,73.5,1714.0,,,
,73.5,73.5,2012-11-28,73.5,70.875,70.875,371.0,,,
,73.5,73.5,2012-11-29,73.5,70.875,70.875,210.0,,,
