" symbol may be delisted""}}}",Adj Close,Close,Date,High,Low,Open,Volume,"description:""No data found","error:{""code"":""Not Found""","{""chart"":{""result"":null"
,0.25,0.25,2012-02-13,0.25,0.205,0.21,458750.0,,,
,0.245,0.245,2012-02-14,0.26,0.245,0.26,274000.0,,,
,0.245,0.245,2012-02-15,0.245,0.245,0.245,0.0,,,
,0.23,0.23,2012-02-16,0.24,0.23,0.23,152000.0,,,
,0.22,0.22,2012-02-19,0.235,0.22,0.23,254671.0,,,
,0.225,0.225,2012-02-20,0.225,0.225,0.225,315829.0,,,
,0.22,0.22,2012-02-21,0.22,0.22,0.22,31250.0,,,
,0.23,0.23,2012-02-22,0.23,0.22,0.22,103750.0,,,
,0.23,0.23,2012-02-23,0.23,0.225,0.225,54464.0,,,
,0.23,0.23,2012-02-26,0.23,0.23,0.23,0.0,,,
,0.22,0.22,2012-02-27,0.22,0.22,0.22,35000.0,,,
,0.22,0.22,2012-02-28,0.22,0.21,0.22,200000.0,,,
,0.265,0.265,2012-02-29,0.27,0.23,0.23,654536.0,,,
,0.34,0.34,2012-03-01,0.35,0.27,0.275,953563.0,,,
,0.395,0.395,2012-03-04,0.45,0.35,0.35,1550735.0,,,
,0.36,0.36,2012-03-05,0.415,0.36,0.4,592190.0,,,
,0.395,0.395,2012-03-06,0.405,0.34,0.35,1138498.0,,,
,0.37,0.37,2012-03-07,0.395,0.37,0.395,475320.0,,,
,0.405,0.405,2012-03-08,0.41,0.385,0.395,646511.0,,,
,0.38,0.38,2012-03-11,0.41,0.38,0.41,222386.0,,,
,0.38,0.38,2012-03-12,0.39,0.38,0.38,452638.0,,,
,0.37,0.37,2012-03-13,0.395,0.37,0.375,98281.0,,,
,0.36,0.36,2012-03-14,0.37,0.36,0.37,247319.0,,,
,0.38,0.38,2012-03-15,0.38,0.35,0.36,351431.0,,,
,0.38,0.38,2012-03-18,0.385,0.38,0.385,138647.0,,,
,0.36,0.36,2012-03-19,0.38,0.36,0.38,333442.0,,,
,0.37,0.37,2012-03-20,0.37,0.35,0.36,228656.0,,,
,0.37,0.37,2012-03-21,0.37,0.36,0.37,96000.0,,,
,0.345,0.345,2012-03-22,0.36,0.33,0.36,199494.0,,,
,0.34,0.34,2012-03-25,0.34,0.335,0.34,99400.0,,,
,0.34,0.34,2012-03-26,0.36,0.34,0.36,49943.0,,,
,0.32,0.32,2012-03-27,0.34,0.32,0.34,34605.0,,,
,0.285,0.285,2012-03-28,0.32,0.285,0.315,62529.0,,,
,0.32,0.32,2012-03-29,0.34,0.31,0.31,311466.0,,,
,0.35,0.35,2012-04-02,0.37,0.35,0.35,268707.0,,,
,0.36,0.36,2012-04-03,0.37,0.36,0.36,326100.0,,,
,0.355,0.355,2012-04-04,0.365,0.355,0.36,140469.0,,,
,0.33,0.33,2012-04-05,0.355,0.33,0.355,39186.0,,,
,0.33,0.33,2012-04-10,0.33,0.33,0.33,27400.0,,,
,0.32,0.32,2012-04-11,0.32,0.32,0.32,65100.0,,,
,0.32,0.32,2012-04-12,0.32,0.32,0.32,43400.0,,,
,0.32,0.32,2012-04-13,0.33,0.32,0.32,120000.0,,,
,0.31,0.31,2012-04-16,0.32,0.31,0.32,110000.0,,,
,0.295,0.295,2012-04-17,0.32,0.295,0.32,420070.0,,,
,0.305,0.305,2012-04-18,0.31,0.3,0.3,213139.0,,,
,0.31,0.31,2012-04-19,0.31,0.31,0.31,21000.0,,,
,0.33,0.33,2012-04-20,0.34,0.33,0.34,49811.0,,,
,0.33,0.33,2012-04-23,0.34,0.33,0.34,5128.0,,,
,0.32,0.32,2012-04-24,0.33,0.32,0.32,139023.0,,,
,0.32,0.32,2012-04-26,0.32,0.32,0.32,28736.0,,,
,0.32,0.32,2012-04-27,0.325,0.32,0.325,204224.0,,,
,0.36,0.36,2012-04-30,0.41,0.335,0.365,1141654.0,,,
,0.34,0.34,2012-05-01,0.39,0.34,0.38,539539.0,,,
,0.36,0.36,2012-05-02,0.36,0.34,0.34,139298.0,,,
,0.39,0.39,2012-05-03,0.39,0.37,0.39,441744.0,,,
,0.36,0.36,2012-05-04,0.38,0.36,0.38,72700.0,,,
,0.34,0.34,2012-05-07,0.36,0.34,0.36,346805.0,,,
,0.33,0.33,2012-05-08,0.34,0.33,0.34,156909.0,,,
,0.31,0.31,2012-05-09,0.33,0.3,0.305,155777.0,,,
,0.315,0.315,2012-05-10,0.33,0.315,0.33,23000.0,,,
,0.325,0.325,2012-05-11,0.325,0.315,0.315,28461.0,,,
,0.32,0.32,2012-05-14,0.325,0.32,0.32,114433.0,,,
,0.32,0.32,2012-05-15,0.32,0.315,0.32,79300.0,,,
,0.3,0.3,2012-05-16,0.315,0.3,0.315,718892.0,,,
,0.3,0.3,2012-05-17,0.3,0.3,0.3,0.0,,,
,0.29,0.29,2012-05-18,0.3,0.29,0.3,251342.0,,,
,0.3,0.3,2012-05-21,0.3,0.3,0.3,29000.0,,,
,0.3,0.3,2012-05-22,0.3,0.3,0.3,0.0,,,
,0.31,0.31,2012-05-23,0.315,0.3,0.3,9925.0,,,
,0.33,0.33,2012-05-24,0.33,0.33,0.33,83589.0,,,
,0.32,0.32,2012-05-25,0.35,0.32,0.35,113200.0,,,
,0.33,0.33,2012-05-28,0.34,0.33,0.34,34708.0,,,
,0.34,0.34,2012-05-29,0.34,0.33,0.33,350000.0,,,
,0.32,0.32,2012-05-30,0.34,0.32,0.33,467937.0,,,
,0.32,0.32,2012-05-31,0.32,0.32,0.32,25574.0,,,
,0.31,0.31,2012-06-01,0.31,0.31,0.31,16331.0,,,
,0.31,0.31,2012-06-04,0.31,0.31,0.31,0.0,,,
,0.31,0.31,2012-06-05,0.31,0.31,0.31,0.0,,,
,0.3,0.3,2012-06-06,0.31,0.27,0.3,740840.0,,,
,0.3,0.3,2012-06-07,0.305,0.3,0.3,355814.0,,,
,0.31,0.31,2012-06-08,0.31,0.3,0.31,103119.0,,,
,0.29,0.29,2012-06-12,0.31,0.29,0.31,99600.0,,,
,0.28,0.28,2012-06-13,0.3,0.27,0.3,299948.0,,,
,0.275,0.275,2012-06-14,0.275,0.27,0.275,86779.0,,,
,0.26,0.26,2012-06-15,0.27,0.26,0.27,441500.0,,,
,0.275,0.275,2012-06-18,0.275,0.27,0.27,37221.0,,,
,0.295,0.295,2012-06-19,0.295,0.295,0.295,2400.0,,,
,0.29,0.29,2012-06-20,0.3,0.28,0.3,155720.0,,,
,0.28,0.28,2012-06-21,0.29,0.275,0.29,106636.0,,,
,0.27,0.27,2012-06-22,0.275,0.27,0.275,86301.0,,,
,0.275,0.275,2012-06-25,0.275,0.27,0.275,302120.0,,,
,0.27,0.27,2012-06-26,0.27,0.27,0.27,184990.0,,,
,0.27,0.27,2012-06-27,0.275,0.27,0.275,99987.0,,,
,0.27,0.27,2012-06-28,0.28,0.27,0.28,53991.0,,,
,0.275,0.275,2012-06-29,0.275,0.275,0.275,98700.0,,,
,0.275,0.275,2012-07-02,0.28,0.275,0.275,77909.0,,,
,0.3,0.3,2012-07-03,0.3,0.28,0.28,75157.0,,,
,0.3,0.3,2012-07-04,0.3,0.3,0.3,94385.0,,,
,0.3,0.3,2012-07-05,0.3,0.3,0.3,0.0,,,
,0.29,0.29,2012-07-06,0.31,0.275,0.31,176000.0,,,
,0.265,0.265,2012-07-09,0.29,0.265,0.29,161382.0,,,
,0.28,0.28,2012-07-10,0.28,0.27,0.27,64500.0,,,
,0.28,0.28,2012-07-11,0.28,0.27,0.28,454060.0,,,
,0.28,0.28,2012-07-12,0.3,0.28,0.28,73582.0,,,
,0.28,0.28,2012-07-13,0.28,0.28,0.28,25000.0,,,
,0.27,0.27,2012-07-16,0.28,0.265,0.28,236031.0,,,
,0.27,0.27,2012-07-17,0.27,0.27,0.27,75000.0,,,
,0.27,0.27,2012-07-18,0.28,0.27,0.28,48833.0,,,
,0.28,0.28,2012-07-19,0.28,0.265,0.265,72785.0,,,
,0.265,0.265,2012-07-20,0.27,0.265,0.27,40000.0,,,
,0.265,0.265,2012-07-23,0.265,0.265,0.265,70000.0,,,
,0.255,0.255,2012-07-24,0.26,0.255,0.26,581527.0,,,
,0.26,0.26,2012-07-25,0.26,0.26,0.26,3057.0,,,
,0.255,0.255,2012-07-26,0.275,0.255,0.275,46023.0,,,
,0.245,0.245,2012-07-27,0.25,0.24,0.25,96977.0,,,
,0.25,0.25,2012-07-30,0.25,0.25,0.25,112000.0,,,
,0.25,0.25,2012-07-31,0.25,0.25,0.25,70000.0,,,
,0.255,0.255,2012-08-01,0.255,0.255,0.255,10000.0,,,
,0.28,0.28,2012-08-02,0.28,0.28,0.28,14250.0,,,
,0.27,0.27,2012-08-03,0.29,0.27,0.27,196459.0,,,
,0.27,0.27,2012-08-06,0.275,0.27,0.275,124341.0,,,
,0.3,0.3,2012-08-07,0.305,0.27,0.27,833509.0,,,
,0.355,0.355,2012-08-08,0.38,0.305,0.31,2068816.0,,,
,0.34,0.34,2012-08-09,0.365,0.33,0.365,560328.0,,,
,0.35,0.35,2012-08-10,0.355,0.335,0.335,484000.0,,,
,0.35,0.35,2012-08-13,0.36,0.345,0.355,508172.0,,,
,0.355,0.355,2012-08-14,0.36,0.34,0.35,514526.0,,,
,0.35,0.35,2012-08-15,0.355,0.345,0.355,335400.0,,,
,0.36,0.36,2012-08-16,0.38,0.35,0.355,831340.0,,,
,0.35,0.35,2012-08-17,0.36,0.35,0.36,293040.0,,,
,0.34,0.34,2012-08-20,0.355,0.34,0.355,372676.0,,,
,0.34,0.34,2012-08-21,0.345,0.325,0.345,337247.0,,,
