Date,Open,High,Low,Close,Adj Close,Volume
2003-09-08,0.55,0.56,0.53,0.53,0.53,142571.0
2003-09-09,0.54,0.55,0.54,0.55,0.55,75000.0
2003-09-10,0.55,0.55,0.53,0.53,0.53,45000.0
2003-09-11,0.53,0.59,0.53,0.56,0.56,359012.0
2003-09-12,0.58,0.6,0.58,0.58,0.58,192765.0
2003-09-15,0.6,0.64,0.59,0.61,0.61,338271.0
2003-09-16,0.62,0.63,0.6,0.6,0.6,120993.0
2003-09-17,0.62,0.62,0.59,0.6,0.6,82820.0
2003-09-18,0.59,0.6,0.56,0.56,0.56,107518.0
2003-09-19,0.58,0.59,0.55,0.56,0.56,62900.0
2003-09-22,0.56,0.56,0.54,0.54,0.54,99705.0
2003-09-23,0.54,0.54,0.52,0.52,0.52,75026.0
2003-09-24,0.53,0.53,0.52,0.52,0.52,71130.0
2003-09-25,0.52,0.52,0.51,0.51,0.51,68507.0
2003-09-26,0.51,0.51,0.5,0.51,0.51,42820.0
2003-09-29,0.52,0.52,0.51,0.52,0.52,101620.0
2003-09-30,0.53,0.53,0.53,0.53,0.53,32530.0
2003-10-01,0.53,0.53,0.53,0.53,0.53,14650.0
2003-10-02,0.53,0.62,0.53,0.57,0.57,688223.0
2003-10-03,0.56,0.56,0.53,0.53,0.53,253876.0
2003-10-06,0.54,0.55,0.53,0.53,0.53,100215.0
2003-10-07,0.54,0.55,0.52,0.54,0.54,111600.0
2003-10-08,0.55,0.55,0.53,0.54,0.54,54270.0
2003-10-09,0.54,0.54,0.52,0.53,0.53,241130.0
2003-10-10,0.52,0.53,0.52,0.53,0.53,35163.0
2003-10-13,0.54,0.54,0.51,0.51,0.51,106503.0
2003-10-14,0.52,0.52,0.51,0.51,0.51,143361.0
2003-10-15,0.52,0.52,0.51,0.51,0.51,94786.0
2003-10-16,0.51,0.54,0.5,0.5,0.5,227866.0
2003-10-17,0.51,0.53,0.51,0.52,0.52,69162.0
2003-10-20,0.51,0.52,0.51,0.51,0.51,62020.0
2003-10-21,0.51,0.53,0.51,0.52,0.52,103605.0
2003-10-22,0.52,0.52,0.51,0.51,0.51,23000.0
2003-10-23,0.52,0.52,0.51,0.51,0.51,50500.0
2003-10-24,0.52,0.52,0.5,0.5,0.5,47980.0
2003-10-26,0.5,0.52,0.5,0.51,0.51,40000.0
2003-10-27,0.5,0.5,0.47,0.47,0.47,295000.0
2003-10-28,0.465,0.465,0.44,0.45,0.45,180811.0
2003-10-29,0.45,0.45,0.425,0.425,0.425,179950.0
2003-10-30,0.435,0.46,0.435,0.44,0.44,170186.0
2003-11-02,0.46,0.46,0.445,0.445,0.445,83000.0
2003-11-03,0.455,0.455,0.44,0.44,0.44,65700.0
2003-11-04,0.445,0.445,0.44,0.44,0.44,99001.0
2003-11-05,0.44,0.445,0.44,0.445,0.445,22000.0
2003-11-06,0.445,0.455,0.445,0.455,0.455,94068.0
2003-11-09,0.465,0.485,0.46,0.46,0.46,161523.0
2003-11-10,0.45,0.465,0.45,0.46,0.46,75000.0
2003-11-11,0.45,0.45,0.445,0.45,0.45,11000.0
2003-11-12,0.445,0.45,0.43,0.44,0.44,48689.0
2003-11-13,0.44,0.44,0.43,0.43,0.43,69663.0
2003-11-16,0.435,0.44,0.43,0.43,0.43,39450.0
2003-11-17,0.44,0.44,0.425,0.425,0.425,57000.0
2003-11-18,0.425,0.425,0.425,0.425,0.425,26043.0
2003-11-19,0.42,0.42,0.41,0.41,0.41,51300.0
2003-11-20,0.42,0.44,0.42,0.44,0.44,95440.0
2003-11-23,0.45,0.45,0.45,0.45,0.45,2000.0
